Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Time of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
TX0000000001,Brazil,3267530.48,Offshore Transfer,2013-01-01,0:00:00,Person_1101,Construction,USA,TRUE,Illegal,6,1,Bank_40,Singapore
TX0000000002,China,4965766.73,Stocks Transfer,2013-01-01,1:00:00,Person_7484,Luxury Goods,South Africa,FALSE,Illegal,9,0,Bank_461,Bahamas
TX0000000003,UK,94167.50,Stocks Transfer,2013-01-01,2:00:00,Person_3655,Construction,Switzerland,TRUE,Illegal,1,3,Bank_387,Switzerland
TX0000000004,UAE,386420.14,Cash Withdrawal,2013-01-01,3:00:00,Person_3226,Oil & Gas,Russia,FALSE,Illegal,7,2,Bank_353,Panama
TX0000000005,South Africa,643378.43,Cryptocurrency,2013-01-01,4:00:00,Person_7975,Real Estate,USA,TRUE,Illegal,1,9,Bank_57,Luxembourg
TX0000000006,Russia,4921056.45,Property Purchase,2013-01-01,5:00:00,Person_4000,Arms Trade,Brazil,FALSE,Legal,7,3,Bank_436,Cayman Islands
TX0000000007,Switzerland,3262817.98,Property Purchase,2013-01-01,6:00:00,Person_2517,Oil & Gas,Brazil,FALSE,Legal,7,8,Bank_452,Panama
TX0000000008,UAE,4687204.61,Property Purchase,2013-01-01,7:00:00,Person_4310,Real Estate,UK,FALSE,Illegal,3,5,Bank_88,Luxembourg
TX0000000009,Brazil,903905.95,Cryptocurrency,2013-01-01,8:00:00,Person_8955,Arms Trade,India,FALSE,Illegal,3,6,Bank_87,Panama
TX0000000010,China,4174994.68,Offshore Transfer,2013-01-01,9:00:00,Person_9585,Arms Trade,China,FALSE,Illegal,9,0,Bank_404,Switzerland
TX0000000011,South Africa,2675518.77,Offshore Transfer,2013-01-01,10:00:00,Person_3241,Casinos,South Africa,TRUE,Legal,8,1,Bank_273,Cayman Islands
TX0000000012,Switzerland,3370300.35,Stocks Transfer,2013-01-01,11:00:00,Person_9098,Arms Trade,UK,FALSE,Legal,9,1,Bank_252,Switzerland
TX0000000013,Brazil,729587.77,Stocks Transfer,2013-01-01,12:00:00,Person_643,Real Estate,Brazil,FALSE,Illegal,5,7,Bank_190,Cayman Islands
TX0000000014,South Africa,2973516.60,Property Purchase,2013-01-01,13:00:00,Person_3269,Real Estate,Singapore,FALSE,Illegal,6,3,Bank_267,Luxembourg
TX0000000015,UK,3669888.19,Stocks Transfer,2013-01-01,14:00:00,Person_778,Construction,China,FALSE,Legal,1,5,Bank_164,Switzerland
TX0000000016,China,3740050.65,Offshore Transfer,2013-01-01,15:00:00,Person_5538,Real Estate,Brazil,TRUE,Illegal,3,6,Bank_211,Panama
TX0000000017,Switzerland,3865495.57,Stocks Transfer,2013-01-01,16:00:00,Person_8463,Real Estate,South Africa,TRUE,Illegal,6,1,Bank_311,Switzerland
TX0000000018,India,2168678.37,Cash Withdrawal,2013-01-01,17:00:00,Person_5269,Oil & Gas,South Africa,FALSE,Illegal,9,6,Bank_439,Cayman Islands
TX0000000019,South Africa,1486877.07,Cryptocurrency,2013-01-01,18:00:00,Person_2149,Luxury Goods,UK,FALSE,Illegal,5,4,Bank_50,Cayman Islands
TX0000000020,UAE,4311216.03,Cash Withdrawal,2013-01-01,19:00:00,Person_8310,Construction,UK,FALSE,Legal,6,5,Bank_337,Bahamas
TX0000000021,Switzerland,4207602.80,Stocks Transfer,2013-01-01,20:00:00,Person_4043,Luxury Goods,UAE,FALSE,Illegal,4,5,Bank_409,Bahamas
TX0000000022,USA,2669181.10,Property Purchase,2013-01-01,21:00:00,Person_6311,Oil & Gas,Singapore,TRUE,Illegal,1,7,Bank_380,Switzerland
TX0000000023,Brazil,970553.36,Offshore Transfer,2013-01-01,22:00:00,Person_9762,Luxury Goods,Switzerland,FALSE,Legal,3,2,Bank_471,Luxembourg
TX0000000024,UK,2556050.53,Cash Withdrawal,2013-01-01,23:00:00,Person_5,Casinos,Singapore,FALSE,Illegal,8,5,Bank_490,Luxembourg
TX0000000025,USA,1001673.61,Property Purchase,2013-01-02,0:00:00,Person_587,Real Estate,USA,FALSE,Illegal,10,1,Bank_209,Luxembourg
TX0000000026,Brazil,4386548.96,Property Purchase,2013-01-02,1:00:00,Person_1879,Construction,UAE,FALSE,Illegal,4,9,Bank_405,Panama
TX0000000027,UAE,870064.09,Stocks Transfer,2013-01-02,2:00:00,Person_4729,Oil & Gas,Russia,FALSE,Legal,2,8,Bank_287,Luxembourg
TX0000000028,Russia,2998826.88,Property Purchase,2013-01-02,3:00:00,Person_516,Real Estate,China,FALSE,Legal,6,4,Bank_323,Luxembourg
TX0000000029,USA,3747602.56,Offshore Transfer,2013-01-02,4:00:00,Person_160,Luxury Goods,USA,FALSE,Illegal,9,7,Bank_266,Singapore
TX0000000030,India,1930397.27,Offshore Transfer,2013-01-02,5:00:00,Person_7905,Construction,Switzerland,FALSE,Illegal,9,9,Bank_461,Bahamas
TX0000000031,Brazil,1452528.11,Property Purchase,2013-01-02,6:00:00,Person_8714,Construction,China,FALSE,Illegal,1,8,Bank_38,Luxembourg
TX0000000032,South Africa,3292071.13,Offshore Transfer,2013-01-02,7:00:00,Person_5732,Arms Trade,India,FALSE,Legal,2,3,Bank_494,Singapore
TX0000000033,UK,4291183.23,Cash Withdrawal,2013-01-02,8:00:00,Person_9688,Casinos,South Africa,FALSE,Illegal,9,7,Bank_113,Cayman Islands
TX0000000034,UAE,4862728.18,Cryptocurrency,2013-01-02,9:00:00,Person_9219,Luxury Goods,UAE,FALSE,Legal,8,9,Bank_135,Bahamas
TX0000000035,Brazil,2332844.84,Stocks Transfer,2013-01-02,10:00:00,Person_9853,Real Estate,Russia,FALSE,Legal,9,8,Bank_342,Bahamas
TX0000000036,Russia,4907863.47,Offshore Transfer,2013-01-02,11:00:00,Person_8363,Luxury Goods,USA,TRUE,Legal,7,9,Bank_285,Singapore
TX0000000037,China,4071726.42,Stocks Transfer,2013-01-02,12:00:00,Person_4599,Construction,USA,FALSE,Illegal,4,6,Bank_390,Singapore
TX0000000038,Switzerland,3260776.77,Cryptocurrency,2013-01-02,13:00:00,Person_3680,Real Estate,Singapore,FALSE,Legal,4,6,Bank_343,Luxembourg
TX0000000039,USA,45712.45,Offshore Transfer,2013-01-02,14:00:00,Person_4804,Oil & Gas,USA,FALSE,Illegal,1,8,Bank_118,Bahamas
TX0000000040,UK,576321.74,Cryptocurrency,2013-01-02,15:00:00,Person_8600,Luxury Goods,China,FALSE,Illegal,2,5,Bank_2,Cayman Islands
TX0000000041,South Africa,2854182.86,Cash Withdrawal,2013-01-02,16:00:00,Person_6246,Construction,China,FALSE,Illegal,5,7,Bank_296,Switzerland
TX0000000042,India,3746204.26,Cash Withdrawal,2013-01-02,17:00:00,Person_2936,Arms Trade,China,FALSE,Illegal,7,2,Bank_433,Singapore
TX0000000043,UK,292201.88,Cash Withdrawal,2013-01-02,18:00:00,Person_4033,Real Estate,UK,FALSE,Illegal,10,1,Bank_45,Switzerland
TX0000000044,UAE,2264995.48,Property Purchase,2013-01-02,19:00:00,Person_2537,Casinos,Singapore,FALSE,Illegal,5,0,Bank_247,Cayman Islands
TX0000000045,Russia,4688572.22,Cash Withdrawal,2013-01-02,20:00:00,Person_943,Finance,China,FALSE,Legal,9,6,Bank_190,Cayman Islands
TX0000000046,Switzerland,587176.94,Stocks Transfer,2013-01-02,21:00:00,Person_479,Real Estate,China,FALSE,Legal,6,3,Bank_76,Bahamas
